Code	Name	Grade	Subject	Type	Description
AMS3MI	Instrumental Music - Strings	11	Arts	University/College	"This course provides students with opportunities to develop their musical literacy through the creation, appreciation, analysis, and performance of music, including traditional, commercial, and art music. Students will apply the creative process when performing appropriate technical exercises and repertoire and will employ the critical analysis processes when reflecting on, responding to, and analysing live and recorded performances. Students will consider the function of music in society and the impact of music on individuals and communities. They will explore how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 9 or 10 Open)"
AMV3MI	Music - Vocal/Choral	11	Arts	University/College	"This course provides students with opportunities to develop their musical literacy through the creation, appreciation, analysis, and performance of music, including traditional, commercial, and art music. Students will apply the creative process when performing appropriate technical exercises and repertoire and will employ the critical analysis processes when reflecting on, responding to, and analysing live and recorded performances. Students will consider the function of music in society and the impact of music on individuals and communities. They will explore how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 9 or 10 Open)"
ASM3MI	"Media Arts, Film/Video"	11	Arts	University/College	"This course focuses on the development of media arts skills through the production of art works involving traditional and emerging technologies, tools, and techniques such as new media, computer animation, and web environments. Students will explore the evolution of media arts as an extension of traditional art forms, use the creative process to produce effective media art works, and critically analyse the unique characteristics of this art form. Students will examine the role of media artists in shaping audience perceptions of identity, culture, and community values. (Prerequisite: Media Arts, Grade 10, Open, or any Grade 9 or 10 arts course Open)"
AVI3MI	Visual Arts	11	Arts	University/College	"This course enables students to further develop their knowledge and skills in visual arts. Students will use the creative process to explore a wide range of themes through studio work that may include drawing, painting, sculpting, and printmaking, as well as the creation of collage, multimedia works, and works using emergent technologies. Students will use the critical analysis process when evaluating their own work and the work of others. The course may be delivered as a comprehensive program or through a program focused on a particular art form (e.g. photography, video, computer graphics, information design).(Prerequisite: Visual Arts, Grade 9 or 10, Open)"
AVI3OI	Visual Arts	11	Arts	Open	"This course focuses on studio activities in the visual arts, such as drawing, painting, sculpture, photography, printmaking, collage, and/or multimedia art. Students will use the creative process to create art works that reflect a wide range of subjects and will evaluate works using the critical analysis process. Students will also explore works of art within a personal, contemporary, historical, and cultural context."
AWQ3OI	Photography	11	Arts	Open	"This course focuses on studio activities in the visual arts, such as drawing, painting, sculpture, photography, printmaking, collage, and/or multimedia art. Students will use the creative process to create art works that reflect a wide range of subjects and will evaluate works using the critical analysis process. Students will also explore works of art within a personal, contemporary, historical, and cultural context."
ADA4MI	Dramatic Arts	12	Arts	University/College	"This course requires students to experiment individually and collaboratively with forms and conventions of both drama and theatre from various cultures and time periods. Students will interpret dramatic literature and other text and media sources while learning about various theories of directing and acting. Students will examine the significance of dramatic arts in various cultures, and will analyse how the knowledge and skills developed in drama are related to their personal skills, social awareness, and goals beyond secondary school. (Prerequisite: Drama, Grade 11, University/College Preparation)"
AMI4MI	Instrumental Music - Band	12	Arts	University/College	"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 11, University/College Preparation)"
AMG4OI	"Guitar Music, Year 2"	12	Arts	Open	There is no description for this course.
AMR4MB	Music Repertoire - Band	12	Arts	University/College	"Concurrent - AMI4MI, (0.5 credit)"
AMR4MS	Music Repertoire - Strings	12	Arts	University/College	"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 11, University/College Preparation) (Concurrent-AMS4MI, 0.5 credit)"
AMS4MI	Instrumental Music - Strings	12	Arts	University/College	"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 11, University/College Preparation)"
AMV4MI	Music -  Vocal/Choral	12	Arts	University/College	"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers.(Prerequisite: Music, Grade 11, University/College Preparation)"
ASM4MI	"Media Arts, Film/Video"	12	Arts	University/College	"This course emphasizes the refinement of media arts skills through the creation of a thematic body of work by applying traditional and emerging technologies, tools, and techniques such as multimedia, computer animation, installation art, and performance art. Students will develop works that express their views on contemporary issues and will create portfolios suitable for use in either career or postsecondary education applications. Students will critically analyse the role of media artists in shaping audience perceptions of identity, culture, and community values. (Prerequisite: Media Arts, Grade 11, University/College Preparation)"
AVI4MI	Visual Arts	12	Arts	University/College	"This course focuses on enabling students to refine their use of the creative process when creating and presenting two- and three-dimensional art works using a variety of traditional and emerging media and technologies. Students will use the critical analysis process to deconstruct art works and explore connections between art and society. The studio program enables students to explore a range of materials, processes, and techniques that can be applied in their own art production. Students will also make connections between various works of art in personal, contemporary, historical, and cultural contexts. (Prerequisite: Visual Arts, Grade 11, University/College Preparation)"
AWQ4MI	Photography	12	Arts	University/College	"This course focuses on enabling students to refine their use of the creative process when creating and presenting two- and three-dimensional art works using a variety of traditional and emerging media and technologies. Students will use the critical analysis process to deconstruct art works and explore connections between art and society. The studio program enables students to explore a range of materials, processes, and techniques that can be applied in their own art production. Students will also make connections between various works of art in personal, contemporary, historical, and cultural contexts. (Prerequisite: Visual Arts, Grade 11, University/College Preparation)"
BBI1OI	Introduction to Business	9	Business Studies	Open	"This course introduces students to the world of business. Students will develop an understanding of the functions of business, including accounting marketing, information technology, human resources, and production, and of the importance of ethics and social responsibility. This course builds a foundation for further studies in business and helps students develop the business knowledge and skills they will need in their everyday lives."
BTT1OI	Information and Communication Technology in Business	9	Business Studies	Open	"This course introduces students to information and communication technology in a business environment and builds a foundation of digital literacy skills necessary for success in a technologically driven society. Students will develop word processing, spreadsheet, database, desktop publishing, presentation software, and website design skills. Throughout the course, there is an emphasis on digital literacy, effective electronic research and communication skills, and current issues related to the impact of information and communication technology."
BBI2OI	Introduction to Business	10	Business Studies	Open	"This course introduces students to the world of business. Students will develop an understanding of the functions of business, including accounting marketing, information technology, human resources, and production, and of the importance of ethics and social responsibility. This course builds a foundation for further studies in business and helps students develop the business knowledge and skills they will need in their everyday lives."
BTT2OI	Information and Communication Technology in Business	10	Business Studies	Open	"This course introduces students to information and communication technology in a business environment and builds a foundation of digital literacy skills necessary for success in a technologically driven society. Students will develop word processing, spreadsheet, database, desktop publishing, presentation software, and website design skills. Throughout the course, there is an emphasis on digital literacy, effective electronic research and communication skills, and current issues related to the impact of information and communication technology."
ICS2OI	Introduction to Computer Technology Studies	10	Business Studies	Open	"This course introduces students to computer programming. Students will plan and write simple computer programs by applying fundamental programming concepts, and learn to create clear and maintainable internal documentation. They will also learn to manage a computer by studying hardware configurations, software selection, operating system functions, networking, and safe computing practices. Students will also investigate the social impact of computer technologies, and develop an understanding of environmental and ethical issues related to the use of computers."
BAF3MI	Financial Accounting Fundamentals	11	Business Studies	University/College	"This course introduces students to the fundamental principles and procedures of accounting. Students will develop financial analysis and decision-making skills that will assist them in future studies and/or career opportunities in business. Students will acquire an understanding of accounting for a service and a merchandising business, computerized accounting, financial analysis, and current issues and ethics in accounting."
BDI3CI	Entrepreneurship: The Venture	11	Business Studies	College	"This course focuses on ways in which entrepreneurs recognize opportunities, generate ideas, and organize resources to plan successful ventures that enable them to achieve their goals. Students will create a venture plan for a student-run school-based or summer business. Through hands-on experiences, students will have opportunities to develop the values, traits, and skills most often associated with successful entrepreneurs."
BMI3CI	"Marketing: Goods, Services, Events"	11	Business Studies	College	"This course introduces the fundamental concepts of product marketing, which includes the marketing of goods, services, and events. Students will examine how trends, issues, global economic changes, and information technology influence consumer buying habits. Students will engage in marketing research, develop marketing strategies, and produce a marketing plan for a product of their choice."
ICS3UI	Introduction to Computer Science	11	Business Studies	University	"This course introduces students to computer science. Students will design software independently and as part of a team, using industry-standard programming tools and applying the software development life-cycle model. They will also write and use subprograms within computer programs. Students will develop creative solutions for various types of problems as their understanding of the computing environment grows. They will also explore environmental and ergonomic issues, emerging research in computer science, and global career trends in computer-related fields. (recommend - ICS2OI)"
CGC1DI	Issues in Canadian Geography	9	Canadian and World Studies	Academic	"This course examines interrelationships within and between Canada’s natural and human systems and how these systems interconnect with those in other parts of the world. Students will explore environmental, economic, and social geographic issues relating to topics such as transportation options, energy choices, and urban development. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate various geographic issues and to develop possible approaches for making Canada a more sustainable place to live."
CGC1DF	Issues in Canadian Geography	9	Canadian and World Studies	Academic	"This course examines interrelationships within and between Canada’s natural and human systems and how these systems interconnect with those in other parts of the world. Students will explore environmental, economic, and social geographic issues relating to topics such as transportation options, energy choices, and urban development. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate various geographic issues and to develop possible approaches for making Canada a more sustainable place to live. (Extended French)"
CGC1PI	Issues in Canadian Geography	9	Canadian and World Studies	Applied	"This course focuses on current geographic issues that affect Canadians. Students will draw on their personal and everyday experiences as they explore a range of issues, including food and water supplies, competing land uses, and interactions with the natural environment, developing their awareness that issues that affect their lives are interconnected with issues in other parts of the world. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate choices related to sustainable living in Canada."
CHC2DI	Canadian History since World War I	10	Canadian and World Studies	Academic	"This course explores social, economic, and political developments and events and their impact on the lives of different groups in Canada since 1914. Students will examine the role of conflict and cooperation in Canadian society, Canada’s evolving role within the global community, and the impact of various individuals, organizations, and events on Canadian identity, citizenship, and heritage. They will develop their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating key issues and events in Canadian history since 1914."
CHC2DF	Canadian History since World War I (Extended French)	10	Canadian and World Studies	Academic	"This course explores social, economic, and political developments and events and their impact on the lives of different groups in Canada since 1914. Students will examine the role of conflict and cooperation in Canadian society, Canada’s evolving role within the global community, and the impact of various individuals, organizations, and events on Canadian identity, citizenship, and heritage. They will develop their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating key issues and events in Canadian history since 1914. This course is offered with French as the language of instruction."
CHC2PI	Canadian History since World War I	10	Canadian and World Studies	Applied	"This course focuses on the social context of historical developments and events and how they have affected the lives of people in Canada since 1914. Students will explore interactions between various communities in Canada as well as contributions of individuals and groups to Canadian heritage and identity. Students will develop their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating the continuing relevance of historical developments and how they have helped shape communities in present-day Canada."
CHV2OH	Civics and Citizenship	10	Canadian and World Studies	Open	"This is a 0.5 credit course. This course explores rights and responsibilities associated with being an active citizen in a democratic society. Students will explore issues of civic importance such as healthy schools, community planning, environmental responsibility, and the influence of social media, while developing their understanding of the role of civic engagement and of political processes in the local, national, and/or global community. Students will apply the concepts of political thinking and the political inquiry process to investigate, and express informed opinions about, a range of political issues and developments that are both of significance in today’s world and of personal interest to them."
CHV2OF	Civics and Citizenship (Extended French)	10	Canadian and World Studies	Open	"This is a 0.5 credit course. This course explores rights and responsibilities associated with being an active citizen in a democratic society. Students will explore issues of civic importance such as healthy schools, community planning, environmental responsibility, and the influence of social media, while developing their understanding of the role of civic engagement and of political processes in the local, national, and/or global community. Students will apply the concepts of political thinking and the political inquiry process to investigate, and express informed opinions about, a range of political issues and developments that are both of significance in today’s world and of personal interest to them."
CGT3OI	Introduction to Spatial Technologies	11	Canadian and World Studies	Workplace	"This course enables students to develop practical skills associated with spatial technologies and to investigate related career opportunities. Students will develop their ability to use geographic information systems (GIS), global positioning systems (GPS), and remote sensing. They will apply the concepts of geographic thinking and the geographic inquiry process when conducting fieldwork, collecting and organizing data, and analysing spatial images such as different types of maps and aerial photographs. (Prerequisite: Canadian Geographic Issues, Grade 9, Academic or Applied.)"
CHA3UI	American History	11	Canadian and World Studies	University	"This course traces the social, economic, and political development of the United States from colonial times to the present. Students will explore the historical context of key developments that shaped the United States, its identity and culture, and its role in the global community. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating forces in American history. (Prerequisite: Grade 10 Canadian History Since World War I, Academic or Applied.)"
CHW3MI	World History to the End of the 15thCentury	11	Canadian and World Studies	University/College	"This course explores the history of various societies around the world, from earliest times to around 1500 CE. Students will examine life in and the legacy of various ancient and pre-modern societies throughout the world, including those in, Africa, Asia, Europe, and the Americas. Students will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating social, political, and economic structures and historical forces at work in various societies and in different historical eras. (Prerequisite: Grade 10 Canadian History Since World War I, Academic or Applied.)"
CLU3MI	Understanding Canadian Law	11	Canadian and World Studies	University/College	"This course explores Canadian law, with a focus on legal issues that are relevant to the lives of people in Canada. Students will gain an understanding of rights and freedoms in Canada, our legal system, and family, contract, employment, tort, and criminal law. Students will use case studies and apply the concepts of legal thinking and the legal inquiry process to develop legal reasoning skills and to formulate and communicate informed interpretations of legal issues, and they will develop the ability to advocate for new laws. (Prerequisite: Grade 10 Canadian History Since World War I, Academic or Applied.)"
CGO4MI	Spatial Technologies in Action	12	Canadian and World Studies	University/College	"This course provides a foundation for students who wish to pursue a career that requires the ability to use computer-based spatial technologies. Students will analyse and propose solutions to real-life issues related to spatial organization, such as determining transportation routes, the most appropriate location for community services, or potential conservation and preservation areas. Students will extend their ability to use geographic information systems (GIS), global positioning systems (GPS), and remote sensing and to create maps, charts, and graphs. Students will apply the concepts of geographic thinking and the geographic inquiry process to investigate various issues related to spatial organization. (Prerequisite: Any University, University/College, or College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
CGW4UI	World Issues: A Geographic Analysis	12	Canadian and World Studies	University	"This course looks at the global challenge of creating a more sustainable and equitable world. Students will explore a range of issues involving environmental, economic, social, and geopolitical interrelationships, and will examine governmental policies related to these issues. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate these complex issues, including their impact on natural and human communities around the world. (Prerequisite: Any University or University/College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
CHM4EI	Adventures in World History	12	Canadian and World Studies	Workplace	"This course examines significant developments and events in world history from earliest times to the present. Students will explore social, economic, and political forces in different times and places, and how technology, art, and religion have helped shape people’s lives and identities. Students will apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating a variety of human experiences in world history. (Prerequisite: Grade 10 Canadian History Since World War I, Academic or Applied, or a locally developed compulsory course.)"
CHY4UI	World History Since the 15th Century	12	Canadian and World Studies	University	"This course traces major developments and events in world history since approximately 1450. Students will explore social, economic, and political changes, the historical roots of contemporary issues, and the role of conflict and cooperation in global interrelationships. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, as they investigate key issues and assess societal progress or decline in world history. (Prerequisite: Any University or University/College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
CIA4UI	Analyzing Current Economic Issues	12	Canadian and World Studies	University	"This course examines current national and global economic trends and policies from diverse perspectives. Students will explore the impact of choices that individuals and institutions, including governments, make in responding to local, national, and global economic issues such as globalization and global economic inequalities, trade agreements, national debt, taxation, social spending, and consumer debt. Students will apply the concepts of economic thinking and the economic inquiry process, including economic models, to investigate, and develop informed opinions about, current economic issues and to help them make reasoned economic decisions. (Prerequisite: Any University or University/College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
CLN4UI	Canadian and International Law	12	Canadian and World Studies	University	"This course explores a range of contemporary legal issues and how they are addressed in both Canadian and international law. Students will develop their understanding of the principles of Canadian and international law when exploring rights and freedoms within the context of topics such as religion, security, cyberspace, immigration, crimes against humanity, and environmental protection. Students will apply the concepts of legal thinking and the legal inquiry process when investigating these issues in both Canadian and international contexts, and they will develop legal reasoning skills and an understanding of conflict resolution in the area of international law. (Prerequisite: Any University or University/College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
CPW4UI	Canadian and International Politics	12	Canadian and World Studies	Univerisy 	"This course explores various perspectives on issues in Canadian and world politics. Students will explore political decision-making and ways in which individuals, stakeholder groups, and various institutions, including different levels of government, multinational corporations, and non-governmental organizations, respond to and work to influence domestic and international developments. Students will apply the concepts of political thinking and the political inquiry process to investigate current political policies, issues, and events, and to develop and communicate informed opinions about them. (Prerequisite: Any University or University/College preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.)"
LVLBDI	Latin: Level 1	9	Classical Studies and International Languages	Academic	There is no description for this course.
LVLCUI	Latin: Level 2	10	Classical Studies and International Languages	University	"This course provides students with opportunities to further develop their knowledge of the rich cultural legacy of the Classical world through the study of Latin or ancient Greek. Students will continue to increase their vocabulary and consolidate their grammatical knowledge by reading and translating a broad selection of adapted and original Classical texts. Although English is the language of instruction, students will continue to develop their proficiency in reading and speaking the Classical language. Students will engage in a variety of activities to strengthen their literacy and research skills and to enhance their ability to make connections between the Classical world and other societies. (Prerequisite: Level 2 Classical Languages, University.)"
LVLDUI	Latin: Level 3	11	Classical Studies and International Languages	University	There is no description for this course.
LVV4UI	Classical Civilizations	10	Classical Studies and International Languages	No Type Available	"This course introduces students to the rich cultural legacy of the Classical world and encourages them to make connections between antiquity and other societies and to their own personal experiences. Students will investigate such aspects of Classical culture as its mythology and literature, art, architecture, philosophy, science, and technology, as well as elements of the ancient Greek and Latin languages. By reading Classical authors in English translation and examining material culture brought to light through archaeology, students will enhance both their communication skills and their ability to think critically and creatively. In addition, they will be encouraged to be culturally sensitive, independent learners who appreciate the interconnectedness of ancient and modern societies and who will be able to apply this understanding to their future endeavours. (Prerequisite: English, Grade 10, Academic or Applied.)"
LWSBDI	Spanish: Level 2	11	Classical Studies and International Languages	Academic	"This course enables students to develop competence in listening, speaking, reading, and writing in the language of study. Students will continue to participate in interactive activities in which they can apply and develop their language skills to communicate with native speakers of the language. They will explore aspects of culture in regions of the world where the language is spoken, including social customs, food, sports and leisure activities, popular festivals, and music. Although students will expand their vocabulary and knowledge of linguistic elements, the language they will use at this level will still be simple."
LWSCUI	Spanish: Level 3	12	Classical Studies and International Languages	Academic	"This course offers students opportunities to further develop competence and confidence in listening, speaking, reading, and writing in the language of study. Students will participate in interactive activities (e.g., discussions about literature, travel, shopping) in which they will further develop their knowledge of linguistic elements. They will continue to explore aspects of culture in regions of the world where the language is spoken, including fashion, historical figures, art, and architecture. Students will enhance their critical and creative thinking skills through reading diverse materials, including original literature, and will explore a variety of personal and professional contexts in which knowledge of the international language is required. (Prerequisite: Level 2 International Languages, Academic.)"
ENG1PI	English	9	English	Applied	"This course is designed to develop the key oral communication, reading, writing, and media literacy skills students need for success in secondary school and daily life. Students will read, interpret, and create a variety of informational, literary, and graphic texts. An important focus will be on identifying and using appropriate strategies and processes to improve students’ comprehension of texts and to help them communicate clearly and effectively. The course is intended to prepare students for the Grade 10 applied English course, which leads to college or workplace preparation courses in Grades 11 and 12."
ENG1DI	English	9	English	Academic	"This course is designed to develop the oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the use of strategies that contribute to effective communication. The course is intended to prepare students for the Grade 10 academic English course, which leads to university or college preparation courses in Grades 11 and 12."
ENG1DW	English	9	English	Pre-AP	There is no description for this course.
ENG2PI	English	10	English	Applied	"This course is designed to extend the range of oral communication, reading, writing, and media literacy skills that students need for success in secondary school and daily life. Students will study and create a variety of informational, literary, and graphic texts. An important focus will be on the consolidation of strategies and processes that help students interpret texts and communicate clearly and effectively. This course is intended to prepare students for the compulsory Grade 11 college or workplace preparation course. (Prerequisite: English, Grade 9, Academic or Applied.)"
ENG2DI	English	10	English	Academic	"This course is designed to extend the range of oral communication, reading, writing, and media literacy skills that students need for success in their secondary school academic programs and in their daily lives. Students will analyse literary texts from contemporary and historical periods, interpret and evaluate informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on the selective use of strategies that contribute to effective communication. This course is intended to prepare students for the compulsory Grade 1l university or college preparation course. (Prerequisite: English, Grade 9, Academic or Applied.)"
ENG2DW	English	10	English	Pre-AP	There is no description for this course.
ENG3CI	English	11	English	College	"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will study the content, form, and style of a variety of informational and graphic texts, as well as literary texts from Canada and other countries, and create oral, written, and media texts in a variety of forms for practical and academic purposes. An important focus will be on using language with precision and clarity. The course is intended to prepare students for the compulsory Grade 12 college preparation course. (Prerequisite: English, Grade 10, Applied.)"
ENG3EI	English	11	English	Workplace	"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in the workplace and in daily life. Students will study the content, form, and style of a variety of contemporary informational, graphic, and literary texts; and create oral, written, and media texts in a variety of forms for practical purposes. An important focus will be on using language clearly and accurately in a variety of formal and informal contexts. The course is intended to prepare students for the compulsory Grade 12 workplace preparation course. (Prerequisite: English, Grade 10, Applied or Essential English, Grade 10, Locally Developed.)"
ENG3UI	English	11	English	University	"This course emphasizes the development of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse challenging literary texts from various periods, countries, and cultures, as well as a range of informational and graphic texts, and create oral, written, and media texts in a variety of forms. An important focus will be on using language with precision and clarity and incorporating stylistic devices appropriately and effectively. The course is intended to prepare students for the compulsory Grade 12 university or college preparation course. (Prerequisite: English, Grade 10, Academic.)"
ENG3UW	English	11	English	University (Pre-AP)	There is no description for this course.
ENG4CI	English	12	English	College	"This course emphasizes the consolidation of literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a variety of informational and graphic texts, as well as literary texts from various countries and cultures, and create oral, written, and media texts in a variety of forms for practical and academic purposes. An important focus will be on using language with precision and clarity and developing greater control in writing. The course is intended to prepare students for college or the workplace. (Prerequisite: English, Grade 11, College Preparation.)"
ENG4EI	English	12	English	Workplace	"This course emphasizes the consolidation of literacy, communication, and critical and creative thinking skills necessary for success in the workplace and in daily life. Students will analyse informational, graphic, and literary texts and create oral, written, and media texts in a variety of forms for workplace-related and practical purposes. An important focus will be on using language accurately and organizing ideas and information coherently. The course is intended to prepare students for the workplace and active citizenship. (Prerequisite: English, Grade 11, Workplace Preparation.)"
